source,line,key,line_sha256,status,replacement,evidence,decision
owtf/settings.py,36,DATABASE_NAME,fbc08d989907131a60854236dff581167a864a5b47d5fba0e7228754d6d2437e,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
owtf/settings.py,37,DATABASE_USER,65c7fba7dab71eece8e47527e027a2fdb7218e30da8b0d4c05ab285eb083bde5,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
owtf/settings.py,38,DATABASE_IP,f8cccc0945c6cd9a061ed77235f9c6c078c64cedcfd58091c7545d0379e89b57,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
owtf/settings.py,39,DATABASE_PORT,4ebd3efdfa65f41f0fbafe8846318d24c4598d422aabffd65e35cf32f7662693,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
owtf/settings.py,42,SERVER_ADDR,c09aab01eafc7c0a60d3b9885606b8820be22b94fcf66c26dc06591267f0ebe0,migrated,server.address,internal/config/config.go,Supported by typed configuration; legacy default values are not imported automatically.
owtf/settings.py,43,SERVER_PORT,87a3061e882c9a5405cb6d5e221632f3979f6fe0d06c6fa9779e9717a7f40950,migrated,server.address,internal/config/config.go,Supported by typed configuration; legacy default values are not imported automatically.
owtf/settings.py,44,FILE_SERVER_PORT,9fe4b81504dd69001a58237804952bb6e75301bf25aeb3656d5b343f140ff0c8,replaced,Separate React frontend and Go API,internal/api/server.go,Frontend assets are served by Nginx; legacy Python template paths are retired.
owtf/settings.py,45,FRONTEND_SERVER_PORT,26a5f53287afc02a337fb428493aeef286a416d55dfa26248e95d2cd47d0ad31,replaced,Separate React frontend and Go API,internal/api/server.go,Frontend assets are served by Nginx; legacy Python template paths are retired.
owtf/settings.py,48,DEFAULT_API_VERSION,61a31667f85494b5285fdd0f52191b9cc9fd3dc5ddb3bc7aaf77abfff50d72c0,replaced,API v2 routes,internal/api/server.go,API version is a route contract rather than a configurable default.
owtf/settings.py,52,APP_SECRET,54afa7367ac4c96ada5c8327622bee8a2793a6aeb04aa14609232eafbb9e38a1,removed,No application accounts,docs/usage/access-model.rst,Application authentication and its validation/administration settings were explicitly removed.
owtf/settings.py,54,SESSION_COOKIE_NAME,46b1bca2211c381924c1e35025149fbf85f82f2592d2ff2fb1819b45ad5268b6,removed,No application accounts,docs/usage/access-model.rst,Application authentication and its validation/administration settings were explicitly removed.
owtf/settings.py,57,SIMPLE_HEADERS,12278d0a7df971b046d321e8331cca66caa9f279df127a6b171e0cbff626d430,deferred,Global API CORS configuration,internal/api/server.go; docs/architecture/settings-decisions.md,Global CORS policy is deferred until UI origin and deployment requirements are defined.
owtf/settings.py,58,ALLOWED_ORIGINS,ffc18559007740cc81db9e9cfbebab9b9bce533971c255ee14b7dfcaa4f7bc99,deferred,Global API CORS configuration,internal/api/server.go; docs/architecture/settings-decisions.md,Global CORS policy is deferred until UI origin and deployment requirements are defined.
owtf/settings.py,59,ALLOWED_METHODS,82b10d2a8fdfb8a06b90e8af73e3c72ce2dfd96925ee1dce69e1c9819a72c508,deferred,Global API CORS configuration,internal/api/server.go; docs/architecture/settings-decisions.md,Global CORS policy is deferred until UI origin and deployment requirements are defined.
owtf/settings.py,60,SEND_CREDENTIALS,d7d28eb0d433c0ceeb0c82bd582486b403d37d6a92d16f6eaa335d729093de3d,deferred,Global API CORS configuration,internal/api/server.go; docs/architecture/settings-decisions.md,Global CORS policy is deferred until UI origin and deployment requirements are defined.
owtf/settings.py,63,USE_SENTRY,0c179b23e43abd420c42727fb885b44b30672bb0e0fed24800261902d29a1bfd,removed,No SMTP or Sentry service,docs/architecture/overview.rst,Legacy mail and error-reporting integration is explicitly retired.
owtf/settings.py,64,SENTRY_API_KEY,a8fa154cb25d1c0315a03fa11a4d2161abe6d4fa5a5299915e20888c1995274f,removed,No SMTP or Sentry service,docs/architecture/overview.rst,Legacy mail and error-reporting integration is explicitly retired.
owtf/settings.py,67,WEB_TEST_GROUPS,dfc95e85f2758fe075a084748dffba666190c014d5f293c01e57c9b0245e74b5,replaced,YAML profiles and plugin groups,internal/profile/profile.go; profiles/default.yaml,Profiles and group/type selections replace legacy group/order files.
owtf/settings.py,68,NET_TEST_GROUPS,9975cbca594e22bb42ebd90df2451943dd67c6d82990035730e51345896848bf,replaced,YAML profiles and plugin groups,internal/profile/profile.go; profiles/default.yaml,Profiles and group/type selections replace legacy group/order files.
owtf/settings.py,69,AUX_TEST_GROUPS,e167168fe2272eb43589a54ce9f3fec14852594917e67246053e10d49ce9275e,replaced,YAML profiles and plugin groups,internal/profile/profile.go; profiles/default.yaml,Profiles and group/type selections replace legacy group/order files.
owtf/settings.py,70,PLUGINS_DIR,ba0962e684218c6584b22fcbd139e3b135fc170a84bbe89cab5368d314658570,migrated,plugins.directory,internal/config/config.go,Supported by typed configuration; legacy default values are not imported automatically.
owtf/settings.py,73,COMMUNITY_PLUGINS_DIR,c00a488fa5cfbf214c56685365dda18c0e426feb297b5e5d9b6ac32a2dff5ed7,removed,Trusted YAML catalog,docs/architecture/plugin-support-decisions.csv,Remote Python uploads and their administration/timeout settings were removed.
owtf/settings.py,74,COMMUNITY_PLUGIN_DEFAULT_TIMEOUT,cda26e519cdc7e8c3e69945a3f8707843d14cbc61bb30de320fa7b1fdd194763,removed,Trusted YAML catalog,docs/architecture/plugin-support-decisions.csv,Remote Python uploads and their administration/timeout settings were removed.
owtf/settings.py,78,COMMUNITY_PLUGIN_MIN_TIMEOUT,a9743eb0d2f3a52c91363b642663c8fc6fb89082958503e1536c0144004dc46e,removed,Trusted YAML catalog,docs/architecture/plugin-support-decisions.csv,Remote Python uploads and their administration/timeout settings were removed.
owtf/settings.py,79,COMMUNITY_PLUGIN_MAX_TIMEOUT,66d210591c28f25742d743ed6db17a58a37cc6721621bbf50ab493492782fb12,removed,Trusted YAML catalog,docs/architecture/plugin-support-decisions.csv,Remote Python uploads and their administration/timeout settings were removed.
owtf/settings.py,80,PLUGIN_UPLOAD_MAX_SIZE,506f231ce5103a79d88988a890a60eaafd6b9ddc05fe35acf2b482dfd6547d15,removed,Trusted YAML catalog,docs/architecture/plugin-support-decisions.csv,Remote Python uploads and their administration/timeout settings were removed.
owtf/settings.py,81,PLUGIN_ALLOWED_EXTENSIONS,4173cbe327892dd3d8daadad96f2c2e3930ef77d531b49c78c81659fc2c3ab2a,removed,Trusted YAML catalog,docs/architecture/plugin-support-decisions.csv,Remote Python uploads and their administration/timeout settings were removed.
owtf/settings.py,84,OUTPUT_PATH,9a414d7c7b5a992a0f7595ae7ac59242ff6a4dec31977e30c9f8933c1c0901c7,replaced,server.dataDirectory,internal/store/store.go; internal/artifact/store.go,SQLite and task-owned artifacts replace independently configurable legacy output subdirectories.
owtf/settings.py,85,AUX_OUTPUT_PATH,73954e85c9a1cc0fb24d0aa498ec1e2a15d68d15f176dccaf676d1e8e3d82944,replaced,server.dataDirectory,internal/store/store.go; internal/artifact/store.go,SQLite and task-owned artifacts replace independently configurable legacy output subdirectories.
owtf/settings.py,86,NET_SCANS_PATH,664ad36191cad8e8671a98e16eece0d8a6ec96ac9bb42c4890990bd44ae17723,replaced,server.dataDirectory,internal/store/store.go; internal/artifact/store.go,SQLite and task-owned artifacts replace independently configurable legacy output subdirectories.
owtf/settings.py,89,TARGETS_DIR,1b3da11b1a37c8cd1b099524e2add7093da1dc20adedc8a7b267bdb55aebcec7,replaced,server.dataDirectory,internal/store/store.go; internal/artifact/store.go,SQLite and task-owned artifacts replace independently configurable legacy output subdirectories.
owtf/settings.py,90,WORKER_LOG_DIR,5b838fba2ca11c8d26589c86da910f1af208cffad84cd19bd4f5c197e95a885f,replaced,server.dataDirectory,internal/store/store.go; internal/artifact/store.go,SQLite and task-owned artifacts replace independently configurable legacy output subdirectories.
owtf/settings.py,93,DEFAULT_GENERAL_PROFILE,4014b2a7b39cc9d89e9f78ae4589bea288a93715c7c1d5ca4e28637047640beb,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,94,DEFAULT_FRAMEWORK_CONFIG,81993bbee038d09c016eabc85635572bdfea9b6b2ebefaf78811a1d2b335ae7f,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,95,DEFAULT_RESOURCES_PROFILE,3381c7e8d1e50c94362b4f088510d431e3b022590c957cef3a096f5e0386b855,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,96,DEFAULT_WEB_PLUGIN_ORDER_PROFILE,ab839f9478c96511f4c9a660cc561c4a92d8abeafda7bf0b6309510facfd4d7b,replaced,YAML profiles and plugin groups,internal/profile/profile.go; profiles/default.yaml,Profiles and group/type selections replace legacy group/order files.
owtf/settings.py,97,DEFAULT_NET_PLUGIN_ORDER_PROFILE,1de52f47af22991eaa36a18ba904058a8507eacba766e12688630c1e7b7afd5c,replaced,YAML profiles and plugin groups,internal/profile/profile.go; profiles/default.yaml,Profiles and group/type selections replace legacy group/order files.
owtf/settings.py,100,LOGS_DIR,22e60ef13541f6bff39c09bfbcf194dbd2f90b78224aaa4b5c2035c624bb0c94,replaced,stderr and persisted task events,cmd/owtf/main.go; internal/runner/runner.go,Process logs go to stderr; task logs are stored as events. No equivalent per-service log-file setting.
owtf/settings.py,102,OWTF_LOG_FILE,874633153ab5db0e1d3b05538559ab3fc8ebba159afc0b70e2957fc65bf0a477,replaced,stderr and persisted task events,cmd/owtf/main.go; internal/runner/runner.go,Process logs go to stderr; task logs are stored as events. No equivalent per-service log-file setting.
owtf/settings.py,105,TEMPLATES,d0e74022a81ed3ef3d6573085e87e898a52fcfad98cb3e36a7a70274e44c133b,replaced,Separate React frontend and Go API,internal/api/server.go,Frontend assets are served by Nginx; legacy Python template paths are retired.
owtf/settings.py,106,STATIC_ROOT,bd26f49c2e81b34c0f93724191145cc03a8b7ea8abbe54c83738850ea1ddef13,replaced,Separate React frontend and Go API,internal/api/server.go,Frontend assets are served by Nginx; legacy Python template paths are retired.
owtf/settings.py,109,EMAIL_FROM,af7917a4673d9a2a8b4b020bbe584d465eee7506c8cd748ffcc50191ff8e80c5,removed,No SMTP or Sentry service,docs/architecture/overview.rst,Legacy mail and error-reporting integration is explicitly retired.
owtf/settings.py,110,SMTP_LOGIN,1768f8637045b2dfe021d451c289bbe6e09e76a1514f8b237f1ddbbb8d12eefc,removed,No SMTP or Sentry service,docs/architecture/overview.rst,Legacy mail and error-reporting integration is explicitly retired.
owtf/settings.py,111,SMTP_PASS,476fb1c70ba75b95b0fb55e2f769c986b10a5c2c773a2469fd4c39a682cd2119,removed,No SMTP or Sentry service,docs/architecture/overview.rst,Legacy mail and error-reporting integration is explicitly retired.
owtf/settings.py,112,SMTP_HOST,f0ab7441000e64552d89efae52e4d411fccd9d2b50c49c65d1c1844db0725c89,removed,No SMTP or Sentry service,docs/architecture/overview.rst,Legacy mail and error-reporting integration is explicitly retired.
owtf/settings.py,113,SMTP_PORT,efb2017ae0d6db843f59e68f2a363cb1d74b136621c8e7621ed20dddbb037edf,removed,No SMTP or Sentry service,docs/architecture/overview.rst,Legacy mail and error-reporting integration is explicitly retired.
owtf/settings.py,116,USE_OUTBOUND_PROXY,458f5f1ed1266371e72b57166778302873ae072a8cbbd5e25ce4661637021ff5,replaced,proxy.upstream,internal/config/config.go,One upstream URL replaces enable/host/port fields; secrets require private configuration handling.
owtf/settings.py,117,OUTBOUND_PROXY_IP,ffff9e0d97b4847deef69ab99eb3040520c9db15feb54a62a8afe0164d92c59a,replaced,proxy.upstream,internal/config/config.go,One upstream URL replaces enable/host/port fields; secrets require private configuration handling.
owtf/settings.py,118,OUTBOUND_PROXY_PORT,b1f8e6cf7a4f94ecfafeb47c58e2cb95d5c02280e5574cd3c1939b9d2393a48d,replaced,proxy.upstream,internal/config/config.go,One upstream URL replaces enable/host/port fields; secrets require private configuration handling.
owtf/settings.py,119,OUTBOUND_PROXY_AUTH,7171bab494366e497f9f82355dbd7a4a39483e1338638c50b9fdbee485ec31b1,replaced,proxy.upstream,internal/config/config.go,One upstream URL replaces enable/host/port fields; secrets require private configuration handling.
owtf/settings.py,122,INBOUND_PROXY_IP,08a535f399786101ff5443956e415e5ecc19a747a20e580914ea3669c613c461,migrated,proxy.listenAddress,internal/config/config.go,Supported by typed configuration; legacy default values are not imported automatically.
owtf/settings.py,123,INBOUND_PROXY_PORT,04d825d680e82d655e9bd59172d29b16ac7ab4886456860948135aad3ed8f6c6,migrated,proxy.listenAddress,internal/config/config.go,Supported by typed configuration; legacy default values are not imported automatically.
owtf/settings.py,124,INBOUND_PROXY_PROCESSES,ab4868f9736468df455dc378ac5c33578612f2c96b566f89e47ac975987f5842,replaced,Go proxy concurrency,internal/proxy/proxy.go,No configurable Tornado process count.
owtf/settings.py,125,INBOUND_PROXY_CACHE_DIR,9f72d3c27c582690a44d5b00399a58eee725b58518c3830aef9da9560c3b413c,replaced,Bounded in-memory response cache,internal/proxy/cache.go,Disk cache directory is not preserved; cache bounds are configurable.
owtf/settings.py,126,CA_CERT,18a90ab0d63e56d822640891038468b7526e753e787a86acb1bc2b4d669fdb90,migrated,proxy.caCertificate,internal/config/config.go,Supported by typed configuration; legacy default values are not imported automatically.
owtf/settings.py,127,CA_KEY,8ece2c9e83e7a55c27cd53477ba36cbe0e716709ba96ae7816267917d69271d9,migrated,proxy.caKey,internal/config/config.go,Supported by typed configuration; legacy default values are not imported automatically.
owtf/settings.py,128,CA_PASS_FILE,772c3a38a75abc218c2d2bb2b5491c30b21473b3f9c51f0d20797aefab1c9c13,deferred,Encrypted CA private-key loading,internal/proxy/authority.go; docs/architecture/settings-decisions.md,Encrypted CA-key support is deferred until an operational requirement exists.
owtf/settings.py,129,CERTS_FOLDER,ebe97f5a1c3e5ecb8b47f4f7d7f88673cb66c8a091a7d86750959a7cdd76f400,replaced,proxy.caCertificate / proxy.caKey,internal/proxy/authority.go,Explicit CA file paths replace the certificate-folder setting.
owtf/settings.py,131,BLACKLIST_COOKIES,5248e5eac41853837d4f145e3522be6851a2067040f14ea9451eec1e116ca161,migrated,proxy.cookieBlacklist,internal/config/config.go,Supported by typed configuration; legacy default values are not imported automatically.
owtf/settings.py,132,WHITELIST_COOKIES,65014b53807e15e78d1b890f55eda74db39890e52ef612d916da6087a7f3393d,migrated,proxy.cookieWhitelist,internal/config/config.go,Supported by typed configuration; legacy default values are not imported automatically.
owtf/settings.py,133,PROXY_RESTRICTED_RESPONSE_HEADERS,65278ca70e6b672dabf4fe26d0a245ebad3ff40d0cbf6b2f1c81279fbdf8eaa9,replaced,HTTP framing and static interceptor rules,internal/proxy/proxy.go; internal/proxy/interceptor.go,Header handling follows Go transport and explicit rules; legacy header blacklists are not copied verbatim.
owtf/settings.py,144,PROXY_RESTRICTED_REQUEST_HEADERS,6276632c3ac2b4b6a61c1f2e7d42eda51ec16ae274004a7c1b5613793dcfa964,replaced,HTTP framing and static interceptor rules,internal/proxy/proxy.go; internal/proxy/interceptor.go,Header handling follows Go transport and explicit rules; legacy header blacklists are not copied verbatim.
owtf/settings.py,150,PROXY_LOG,10b1973457f34e67e811170d81b864499710b889dce0d70aae1befed74847540,replaced,stderr and persisted task events,cmd/owtf/main.go; internal/runner/runner.go,Process logs go to stderr; task logs are stored as events. No equivalent per-service log-file setting.
owtf/settings.py,153,REGEXP_FILE_URL,90d2d1d7929c9b4b90b6382141d69614cb3fa6d4a244578b95c7975533c71f2d,gap,File/image/SSI URL classification,internal/target/normalize.go,No equivalent configurable extension-classification and small-file retrieval policy.
owtf/settings.py,157,REGEXP_SMALL_FILE_URL,601117f0e00469f2166cc759f6588d194cb71608c4fd73f3f91d40dfa9e3ed44,gap,File/image/SSI URL classification,internal/target/normalize.go,No equivalent configurable extension-classification and small-file retrieval policy.
owtf/settings.py,158,REGEXP_IMAGE_URL,f947f9c3420660f24df7edc7523a2f1a97c332f98463cce324d1f1b9b895c326,gap,File/image/SSI URL classification,internal/target/normalize.go,No equivalent configurable extension-classification and small-file retrieval policy.
owtf/settings.py,159,REGEXP_VALID_URL,daef3127d7cbbc1881d9ff84db42955b885c4a60c89e5d874e68aa6e3b2880af,replaced,Target normalization,internal/target/normalize.go,URL parsing replaces permissive legacy URL regex validation; no editable regex.
owtf/settings.py,160,REGEXP_SSI_URL,b64145b13177990e6465715e336c02e9cd6a9f3426efc4b773e050fe0e782b6c,gap,File/image/SSI URL classification,internal/target/normalize.go,No equivalent configurable extension-classification and small-file retrieval policy.
owtf/settings.py,161,REGEXP_PASSWORD,cdf64b55bdc6d5e78d60b997cf2b476db59e24f3e57a0c4300594af215b00295,removed,No application accounts,docs/usage/access-model.rst,Application authentication and its validation/administration settings were explicitly removed.
owtf/settings.py,162,REGEXP_EMAIL,e6419d52922ed2d37cdc3d4f5e610655bd9686a99fcabc3b7585ec3aa7c6fbad,removed,No application accounts,docs/usage/access-model.rst,Application authentication and its validation/administration settings were explicitly removed.
owtf/settings.py,174,SERVER_LOG,916b90c9d5f3f674541890cb2e0ef8733524d9162809c6e62a449cd0a21d15c7,replaced,stderr and persisted task events,cmd/owtf/main.go; internal/runner/runner.go,Process logs go to stderr; task logs are stored as events. No equivalent per-service log-file setting.
owtf/settings.py,175,FILE_SERVER_LOG,c7d1dd0b22bfa9117f7c99269b9beafbe27c3e3f3cad5a58b2cd2e8cf44e23ed,replaced,stderr and persisted task events,cmd/owtf/main.go; internal/runner/runner.go,Process logs go to stderr; task logs are stored as events. No equivalent per-service log-file setting.
owtf/settings.py,178,HTTP_AUTH_HOST,fb58f010149c493cdd8dc201b3d1067faffde2ed512e7e196c4743685912dd35,replaced,proxy.httpAuthFile,internal/proxy/auth.go,Host-scoped Basic/Digest credentials live in a private file; no global credential tuple.
owtf/settings.py,179,HTTP_AUTH_USERNAME,fdbcc06d67ca4165ec85cee4b9c0ce6276c060fc1de721eebbff739449d3e42b,replaced,proxy.httpAuthFile,internal/proxy/auth.go,Host-scoped Basic/Digest credentials live in a private file; no global credential tuple.
owtf/settings.py,180,HTTP_AUTH_PASSWORD,f99a83ab99a52a8bceae171434daebe88897198dc27ddf588ce03777451536cc,replaced,proxy.httpAuthFile,internal/proxy/auth.go,Host-scoped Basic/Digest credentials live in a private file; no global credential tuple.
owtf/settings.py,181,HTTP_AUTH_MODE,79ee0c16897dba08ee0ea9a2ec78b3f45f24c409d1898fbe6c2cdec1d8ad48f6,replaced,proxy.httpAuthFile,internal/proxy/auth.go,Host-scoped Basic/Digest credentials live in a private file; no global credential tuple.
owtf/settings.py,184,RESOURCE_MONITOR_PROFILER,34a080de858201a8948050f2e4933672d7a61a2e5aea097e88a0bcd5bd13a894,replaced,server.workers,internal/runner/runner.go,Fixed bounded worker pool replaces CPU/RAM-driven dynamic scaling; old thresholds do not map one-to-one.
owtf/settings.py,185,PROCESS_PER_CORE,b6770a7029addd0c80231925527aa4d0153179735a0d867ff8837fb4c94b2bfe,replaced,server.workers,internal/runner/runner.go,Fixed bounded worker pool replaces CPU/RAM-driven dynamic scaling; old thresholds do not map one-to-one.
owtf/settings.py,186,MIN_RAM_NEEDED,4341424682015da849c2841b327f70ba4f3567cf9537802c293c43beb23bb786,replaced,server.workers,internal/runner/runner.go,Fixed bounded worker pool replaces CPU/RAM-driven dynamic scaling; old thresholds do not map one-to-one.
owtf/settings.py,189,DATE_TIME_FORMAT,a5d279b870be5357021ce6ef31b0c8d3dc7e7f8f2873e4ac7e014f1239083571,replaced,RFC3339 timestamps,internal/model/model.go,No global custom datetime formatting setting.
owtf/settings.py,190,REPLACEMENT_DELIMITER,694b832dd21d69fe48983f3b6d82845559ec1c543396736e67280a54c7c41420,replaced,Argument bindings,internal/plugin/command.go,Typed argument bindings replace arbitrary @@@ string substitution.
owtf/settings.py,191,REPLACEMENT_DELIMITER_LENGTH,adc188afe4cf2bbf48373ba5e2d1ee8f016af55b58fbad6c737fa934f05dd3c7,replaced,Argument bindings,internal/plugin/command.go,Typed argument bindings replace arbitrary @@@ string substitution.
owtf/settings.py,192,CONFIG_TYPES,ad4d1d436901cbc3d423ce1e12d115b72e6c1b73c8bffdc8b75880d44065f5bf,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,194,USER_AGENT,445141eca7f2969212511ded05be3fcedace000c730f5d5b3c2dc5668fdf4fc8,partial,Per-plugin user_agent input,internal/config/config.go; internal/plugin/http_config.go; internal/plugin/http_config_test.go,Shared configurable User-Agent for OWTF-owned collectors. External tools retain explicit inputs; not a global override for all legacy commands.
owtf/settings.py,195,PROXY_CHECK_URL,cbcc225b55529c810a7e94aea9668a806e16571c3b683b6d5f11e0645e19f321,removed,No external proxy-check probe,internal/proxy/proxy.go,Automatic probe to a public third-party URL is not retained.
owtf/settings.py,198,FALLBACK_WEB_TEST_GROUPS,370c8240cdcde20aa2e1dcdb18f325e18298591e8a397342cac836b849f6687b,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,199,FALLBACK_NET_TEST_GROUPS,272934e25ec8f9cc721b71e84fa534488c43559b605c613f6c29a11fd085116e,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,200,FALLBACK_AUX_TEST_GROUPS,c46bc8da4ae03746bf6672c155436be46f4b9d10e385b42500bbbdd159f67277,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,201,FALLBACK_PLUGINS_DIR,8d99d634715ad6531c3c759ea0ef6f4e737051fbcbd53f56537da0a37a6d11e7,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,202,FALLBACK_GENERAL_PROFILE,5f109db293d7bf2c88b2e01550d02ff4b1025a7cb7f2e5a9fcc1573af0c2f1e8,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,203,FALLBACK_FRAMEWORK_CONFIG,8c946be591e8cec8d3630fe01335b84a084d07b64301678833ea0414000dedc4,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,204,FALLBACK_RESOURCES_PROFILE,eb0fee720fcae595c3ea2f6c521d6c6f0fb2d89e9ddbb83086263d49fd8b7f1a,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,205,FALLBACK_WEB_PLUGIN_ORDER_PROFILE,0663f4ce61b61bb1bb82db3f376dc54f2ddf37e22182f5a8f8eeaa5888211cb7,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,206,FALLBACK_NET_PLUGIN_ORDER_PROFILE,2847724eeee45d1eac808069d4c97817501bbbbaa6cca723b97e52dfaa5ae478,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,218,JWT_SECRET_KEY,b714e4037844776911dc96e656c1fe85aa0cf24f040046731a8b7b91f85ec340,removed,No application accounts,docs/usage/access-model.rst,Application authentication and its validation/administration settings were explicitly removed.
owtf/settings.py,219,JWT_ALGORITHM,d3998569f8d8e07ace495dce07a88acfaaca83d478162e6878925f1387fe3a21,removed,No application accounts,docs/usage/access-model.rst,Application authentication and its validation/administration settings were explicitly removed.
owtf/settings.py,220,JWT_EXP_DELTA_SECONDS,3e661c08acc8aa589cb770ebfa382f866598bc7770b4f6d7e27cebb85b7ebba5,removed,No application accounts,docs/usage/access-model.rst,Application authentication and its validation/administration settings were explicitly removed.
owtf/settings.py,221,JWT_OPTIONS,46134634ad2655f852a1df9b1c05ce717128863ddd022cf383de8caacaee07e9,removed,No application accounts,docs/usage/access-model.rst,Application authentication and its validation/administration settings were explicitly removed.
owtf/settings.py,231,ADMIN_EMAILS,693ba928d0beecf433d335a5a0b7fe0b07308b32439fef29fa95e4617581804e,removed,No application accounts,docs/usage/access-model.rst,Application authentication and its validation/administration settings were explicitly removed.
owtf/settings.py,242,WORKER_MAX_PROCESSES,d569944df6c3745d0ef33ea43f82f845228f1a0879b26d0d180b15ae711d15d0,replaced,server.workers,internal/runner/runner.go,Fixed bounded worker pool replaces CPU/RAM-driven dynamic scaling; old thresholds do not map one-to-one.
owtf/settings.py,243,WORKER_HIGH_WATER,1eaf0fe17afa26fe769e51494153000dfc0df9ef507d58dfdc4509ff55a060ad,replaced,server.workers,internal/runner/runner.go,Fixed bounded worker pool replaces CPU/RAM-driven dynamic scaling; old thresholds do not map one-to-one.
