code,group,type,name,description,resource_keys,reference,legacy_path
"PTES-003","network","bruteforce","vnc"," VNC Probing ","BruteVncProbeMethods","","owtf/plugins/network/bruteforce/vnc@PTES-003.py"
"OWTF-IG-005","web","active","Application Discovery","Active probing for app discovery","ActiveDiscovery","","owtf/plugins/web/active/Application_Discovery@OWTF-IG-005.py"
"OWTF-WVS-001","web","active","Arachni Unauthenticated","Active Vulnerability Scanning without credentials via Arachni","Arachni_Unauth","","owtf/plugins/web/active/Arachni_Unauthenticated@OWTF-WVS-001.py"
"OWTF-CM-008","web","active","HTTP Methods and XST","Active probing for HTTP methods","ActiveHTTPMethods","","owtf/plugins/web/active/HTTP_Methods_and_XST@OWTF-CM-008.py"
"OWTF-CM-003","web","active","Infrastructure Configuration Management","Active Probing for fingerprint analysis","ActiveInfrastructureConfigurationManagement","","owtf/plugins/web/active/Infrastructure_Configuration_Management@OWTF-CM-003.py"
"OWTF-WVS-002","web","active","Nikto Unauthenticated","Active Vulnerability Scanning without credentials via nikto","Nikto_Unauth;Nikto_Verify_Unauth","","owtf/plugins/web/active/Nikto_Unauthenticated@OWTF-WVS-002.py"
"OWTF-CM-006","web","active","Old Backup and Unreferenced Files","Active probing for juicy files (DirBuster)","DirBusterInteraction[{}.format(INTERACTIVE;DirBuster_Extract_URLs","https://www.owasp.org/index.php/Testing_for_Old,_Backup_and_Unreferenced_Files_(OWASP-CM-006)","owtf/plugins/web/active/Old_Backup_and_Unreferenced_Files@OWTF-CM-006.py"
"OWTF-WVS-006","web","active","Skipfish Unauthenticated","Active Vulnerability Scanning without credentials via Skipfish","Skipfish_Unauth","","owtf/plugins/web/active/Skipfish_Unauthenticated@OWTF-WVS-006.py"
"OWTF-ST-001","web","active","Subdomain Takeover","Active plugin which Test for Subdomain Takeover","SubdomainTakeover","","owtf/plugins/web/active/Subdomain_Takeover@OWTF-ST-001.py"
"OWTF-CL-002","web","active","Testing for Open GCP buckets","GCPBucketBrute for Open GCP Buckets","ActiveOpenGCPBuckets","","owtf/plugins/web/active/Testing_for_Open_GCP_buckets@OWTF-CL-002.py"
"OWTF-CM-001","web","active","Testing for SSL-TLS","Active probing for SSL configuration","ActiveSSLCmds","","owtf/plugins/web/active/Testing_for_SSL-TLS@OWTF-CM-001.py"
"OWTF-WSP-001","web","active","Visit URLs","Visit URLs found by other tools, some could be sensitive: need permission","","","owtf/plugins/web/active/Visit_URLs@OWTF-WSP-001.py"
"OWTF-WVS-004","web","active","W3AF Unauthenticated","Active Vulnerability Scanning without credentials via w3af","W3AF_Unauth","","owtf/plugins/web/active/W3AF_Unauthenticated@OWTF-WVS-004.py"
"OWTF-WVS-003","web","active","Wapiti Unauthenticated","Active Vulnerability Scanning without credentials via Wapiti","Wapiti_Unauth","","owtf/plugins/web/active/Wapiti_Unauthenticated@OWTF-WVS-003.py"
"OWTF-IG-004","web","active","Web Application Fingerprint","Active probing for fingerprint analysis","ActiveFingerPrint","https://www.owasp.org/index.php/Testing_for_Web_Application_Fingerprint_%28OWASP-IG-004%29","owtf/plugins/web/active/Web_Application_Fingerprint@OWTF-IG-004.py"
"OWTF-AJ-001","web","external","AJAX Vulnerabilities","AJAX Plugin to assist manual testing","ExternalAJAX","","owtf/plugins/web/external/AJAX_Vulnerabilities@OWTF-AJ-001.py"
"OWTF-CM-004","web","external","Application Configuration Management","Plugin to assist manual testing","","","owtf/plugins/web/external/Application_Configuration_Management@OWTF-CM-004.py"
"OWTF-IG-005","web","external","Application Discovery","Plugin to assist manual testing","","","owtf/plugins/web/external/Application_Discovery@OWTF-IG-005.py"
"OWTF-WVS-001","web","external","Arachni Unauthenticated","Plugin to assist manual testing","","","owtf/plugins/web/external/Arachni_Unauthenticated@OWTF-WVS-001.py"
"OWTF-AT-004","web","external","Brute Force Testing","Plugin to assist manual testing","","","owtf/plugins/web/external/Brute_Force_Testing@OWTF-AT-004.py"
"OWTF-AT-005","web","external","Bypassing authentication schema","Plugin to assist manual testing","ExternalBypassingAuthenticationSchema","","owtf/plugins/web/external/Bypassing_authentication_schema@OWTF-AT-005.py"
"OWTF-AZ-002","web","external","Bypassing authorization schema","Plugin to assist manual testing","ExternalBypassingAuthorisationSchema","","owtf/plugins/web/external/Bypassing_authorization_schema@OWTF-AZ-002.py"
"OWTF-WGP-002","web","external","CORS","CORS Plugin to assist manual testing","ExternalCORS","","owtf/plugins/web/external/CORS@OWTF-WGP-002.py"
"OWTF-WGP-001","web","external","Clickjacking","Plugin to assist manual testing","ExternalClickjacking","","owtf/plugins/web/external/Clickjacking@OWTF-WGP-001.py"
"OWTF-SM-002","web","external","Cookies attributes","Cookie Attributes Plugin to assist manual testing","ExternalCookiesAttributes","","owtf/plugins/web/external/Cookies_attributes@OWTF-SM-002.py"
"OWTF-AT-001","web","external","Credentials transport over an encrypted channel","Tools to assist credential transport vulnerability exploitation","ExternalCredentialsTransport","","owtf/plugins/web/external/Credentials_transport_over_an_encrypted_channel@OWTF-AT-001.py"
"OWTF-CM-002","web","external","DB Listener Testing","Plugin to assist manual testing","","","owtf/plugins/web/external/DB_Listener_Testing@OWTF-CM-002.py"
"OWTF-DV-003","web","external","DOM based Cross Site Scripting","Plugin to assist manual testing","ExternalCrossSiteScripting","","owtf/plugins/web/external/DOM_based_Cross_Site_Scripting@OWTF-DV-003.py"
"OWTF-DS-007","web","external","DoS Failure to Release Resources","Plugin to assist manual testing","","","owtf/plugins/web/external/DoS_Failure_to_Release_Resources@OWTF-DS-007.py"
"OWTF-DS-004","web","external","DoS User Specified Object Allocation","Plugin to assist manual testing","","","owtf/plugins/web/external/DoS_User_Specified_Object_Allocation@OWTF-DS-004.py"
"OWTF-SM-004","web","external","Exposed Session Variables","Plugin to assist manual testing","","","owtf/plugins/web/external/Exposed_Session_Variables@OWTF-SM-004.py"
"OWTF-WS-005","web","external","HTTP GET parameters REST Testing","Plugin to assist manual testing","","","owtf/plugins/web/external/HTTP_GET_parameters_REST_Testing@OWTF-WS-005.py"
"OWTF-CM-008","web","external","HTTP Methods and XST","Plugin to assist manual testing","","","owtf/plugins/web/external/HTTP_Methods_and_XST@OWTF-CM-008.py"
"OWTF-AJ-002","web","external","How to test AJAX","Plugin to assist manual testing","","","owtf/plugins/web/external/How_to_test_AJAX@OWTF-AJ-002.py"
"OWTF-DV-011","web","external","IMAP SMTP Injection","Active Vulnerability Scanning of email servers for the STARTTLS command injection vulnerability in SMTP, POP3, and IMAP.","IMAP_SMTPinjection","","owtf/plugins/web/external/IMAP_SMTP_Injection@OWTF-DV-011.py"
"OWTF-IG-003","web","external","Identify application entry points","Plugin to assist manual testing","","","owtf/plugins/web/external/Identify_application_entry_points@OWTF-IG-003.py"
"OWTF-CM-003","web","external","Infrastructure Configuration Management","Plugin to assist manual testing","","","owtf/plugins/web/external/Infrastructure_Configuration_Management@OWTF-CM-003.py"
"OWTF-AT-007","web","external","Logout and Browser Cache Management","Plugin to assist manual testing","","","owtf/plugins/web/external/Logout_and_Browser_Cache_Management@OWTF-AT-007.py"
"OWTF-AT-009","web","external","Multiple Factors Authentication","Plugin to assist manual testing","","","owtf/plugins/web/external/Multiple_Factors_Authentication@OWTF-AT-009.py"
"OWTF-WS-006","web","external","Naughty SOAP attachments","Plugin to assist manual testing","","","owtf/plugins/web/external/Naughty_SOAP_attachments@OWTF-WS-006.py"
"OWTF-WVS-002","web","external","Nikto Unauthenticated","Plugin to assist manual testing","","","owtf/plugins/web/external/Nikto_Unauthenticated@OWTF-WVS-002.py"
"OWTF-CM-006","web","external","Old Backup and Unreferenced Files","Plugin to assist manual testing","","","owtf/plugins/web/external/Old_Backup_and_Unreferenced_Files@OWTF-CM-006.py"
"OWTF-AT-010","web","external","Race Conditions","Plugin to assist manual testing","","","owtf/plugins/web/external/Race_Conditions@OWTF-AT-010.py"
"OWTF-DV-001","web","external","Reflected Cross Site Scripting","Plugin to assist manual testing","ExternalCrossSiteScripting","","owtf/plugins/web/external/Reflected_Cross_Site_Scripting@OWTF-DV-001.py"
"OWTF-IG-002","web","external","Search engine discovery reconnaissance","Plugin to assist manual testing","","","owtf/plugins/web/external/Search_engine_discovery_reconnaissance@OWTF-IG-002.py"
"OWTF-SM-001","web","external","Session Management Schema","Plugin to assist manual testing","ExternalSessionManagement","","owtf/plugins/web/external/Session_Management_Schema@OWTF-SM-001.py"
"OWTF-IG-001","web","external","Spiders Robots and Crawlers","Plugin to assist manual testing","","","owtf/plugins/web/external/Spiders_Robots_and_Crawlers@OWTF-IG-001.py"
"OWTF-DV-002","web","external","Stored Cross Site Scripting","Plugin to assist manual testing","ExternalCrossSiteScripting","","owtf/plugins/web/external/Stored_Cross_Site_Scripting@OWTF-DV-002.py"
"OWTF-DS-008","web","external","Storing too Much Data in Session","Plugin to assist manual testing","","","owtf/plugins/web/external/Storing_too_Much_Data_in_Session@OWTF-DS-008.py"
"OWTF-WS-002","web","external","Testing WSDL","Plugin to assist manual testing","ExternalWebServices","","owtf/plugins/web/external/Testing_WSDL@OWTF-WS-002.py"
"OWTF-CM-007","web","external","Testing for Admin Interfaces","Plugin to assist manual testing","ExternalAdminInterfaces","","owtf/plugins/web/external/Testing_for_Admin_Interfaces@OWTF-CM-007.py"
"OWTF-DV-014","web","external","Testing for Buffer overflow","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_Buffer_overflow@OWTF-DV-014.py"
"OWTF-SM-005","web","external","Testing for CSRF","Plugin to assist manual testing","ExternalCSRF","","owtf/plugins/web/external/Testing_for_CSRF@OWTF-SM-005.py"
"OWTF-AT-008","web","external","Testing for Captcha","Plugin to assist manual testing","ExternalCAPTCHA","","owtf/plugins/web/external/Testing_for_Captcha@OWTF-AT-008.py"
"OWTF-DV-012","web","external","Testing for Code Injection","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_Code_Injection@OWTF-DV-012.py"
"OWTF-DV-013","web","external","Testing for Command Injection","Plugin to assist manual testing","ExternalCommandInjection","","owtf/plugins/web/external/Testing_for_Command_Injection@OWTF-DV-013.py"
"OWTF-DV-004","web","external","Testing for Cross site flashing","Cross Site Flashing Plugin to assist manual testing","ExternalCrossSiteFlashing","","owtf/plugins/web/external/Testing_for_Cross_site_flashing@OWTF-DV-004.py"
"OWTF-DS-003","web","external","Testing for DoS Buffer Overflows","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_DoS_Buffer_Overflows@OWTF-DS-003.py"
"OWTF-DS-002","web","external","Testing for DoS Locking Customer Accounts","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_DoS_Locking_Customer_Accounts@OWTF-DS-002.py"
"OWTF-IG-006","web","external","Testing for Error Code","Plugin to assist manual testing","ExternalErrorCodes","","owtf/plugins/web/external/Testing_for_Error_Code@OWTF-IG-006.py"
"OWTF-CM-005","web","external","Testing for File Extensions Handling","Plugin to assist manual testing","ExternalFileExtHandling","","owtf/plugins/web/external/Testing_for_File_Extensions_Handling@OWTF-CM-005.py"
"OWTF-AT-003","web","external","Testing for Guessable User Account","Plugin to assist manual testing","ExternalDefaultGuessableUserAccount","","owtf/plugins/web/external/Testing_for_Guessable_User_Account@OWTF-AT-003.py"
"OWTF-DV-016","web","external","Testing for HTTP Splitting Smuggling","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_HTTP_Splitting_Smuggling@OWTF-DV-016.py"
"OWTF-DV-006","web","external","Testing for LDAP Injection","LDAP Plugin to assist manual testing","ExternalLDAPinjection","","owtf/plugins/web/external/Testing_for_LDAP_Injection@OWTF-DV-006.py"
"OWTF-DV-007","web","external","Testing for ORM Injection","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_ORM_Injection@OWTF-DV-007.py"
"OWTF-AZ-003","web","external","Testing for Privilege Escalation","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_Privilege_Escalation@OWTF-AZ-003.py"
"OWTF-DV-005","web","external","Testing for SQL Injection","Plugin to assist manual testing","ExternalSQLi","","owtf/plugins/web/external/Testing_for_SQL_Injection@OWTF-DV-005.py"
"OWTF-DS-001","web","external","Testing for SQL Wildcard Attacks","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_SQL_Wildcard_Attacks@OWTF-DS-001.py"
"OWTF-DV-009","web","external","Testing for SSI Injection","Plugin to assist manual testing","ExternalSSIInjection","","owtf/plugins/web/external/Testing_for_SSI_Injection@OWTF-DV-009.py"
"OWTF-CM-001","web","external","Testing for SSL-TLS","Plugin to assist manual testing","ExternalSSL","","owtf/plugins/web/external/Testing_for_SSL-TLS@OWTF-CM-001.py"
"OWTF-SM-003","web","external","Testing for Session Fixation","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_Session_Fixation@OWTF-SM-003.py"
"OWTF-DV-008","web","external","Testing for XML Injection","XML Injection Plugin to assist manual testing","ExternalXMLInjection","","owtf/plugins/web/external/Testing_for_XML_Injection@OWTF-DV-008.py"
"OWTF-DV-010","web","external","Testing for XPath Injection","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_XPath_Injection@OWTF-DV-010.py"
"OWTF-DV-015","web","external","Testing for incubated vulnerabilities","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_incubated_vulnerabilities@OWTF-DV-015.py"
"OWTF-AZ-001","web","external","Testing for path traversal","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_path_traversal@OWTF-AZ-001.py"
"OWTF-AT-002","web","external","Testing for user enumeration","Plugin to assist manual testing","","","owtf/plugins/web/external/Testing_for_user_enumeration@OWTF-AT-002.py"
"OWTF-DS-005","web","external","User Input as a Loop Counter","Plugin to assist manual testing","","","owtf/plugins/web/external/User_Input_as_a_Loop_Counter@OWTF-DS-005.py"
"OWTF-WSP-001","web","external","Visit URLs","Plugin to assist manual testing","","","owtf/plugins/web/external/Visit_URLs@OWTF-WSP-001.py"
"OWTF-AT-006","web","external","Vulnerable Remember Password and Pwd Reset","Plugin to assist manual testing","ExternalRememberPasswordAndReset","","owtf/plugins/web/external/Vulnerable_Remember_Password_and_Pwd_Reset@OWTF-AT-006.py"
"OWTF-WVS-004","web","external","W3AF Unauthenticated","Plugin to assist manual testing","","","owtf/plugins/web/external/W3AF_Unauthenticated@OWTF-WVS-004.py"
"OWTF-WS-001","web","external","WS Information Gathering","Plugin to assist manual testing","ExternalWebServices","","owtf/plugins/web/external/WS_Information_Gathering@OWTF-WS-001.py"
"OWTF-WS-007","web","external","WS Replay Testing","Plugin to assist manual testing","ExternalWebServices","","owtf/plugins/web/external/WS_Replay_Testing@OWTF-WS-007.py"
"OWTF-WVS-003","web","external","Wapiti Unauthenticated","Plugin to assist manual testing","","","owtf/plugins/web/external/Wapiti_Unauthenticated@OWTF-WVS-003.py"
"OWTF-IG-004","web","external","Web Application Fingerprint","Plugin to assist manual testing","ExternalWebAppFingerprint","","owtf/plugins/web/external/Web_Application_Fingerprint@OWTF-IG-004.py"
"OWTF-DS-006","web","external","Writing User Provided Data to Disk","Plugin to assist manual testing","","","owtf/plugins/web/external/Writing_User_Provided_Data_to_Disk@OWTF-DS-006.py"
"OWTF-WS-004","web","external","XML Content-level Testing","Plugin to assist manual testing","ExternalWebServices","","owtf/plugins/web/external/XML_Content-level_Testing@OWTF-WS-004.py"
"OWTF-WS-003","web","external","XML Structural Testing","Plugin to assist manual testing","ExternalWebServices","","owtf/plugins/web/external/XML_Structural_Testing@OWTF-WS-003.py"
"OWTF-CM-004","web","grep","Application Configuration Management","Searches transaction DB for comments","","https://www.owasp.org/index.php/Testing_for_application_configuration_management_%28OWASP-CM-004%29","owtf/plugins/web/grep/Application_Configuration_Management@OWTF-CM-004.py"
"OWTF-WGP-002","web","grep","CORS","Searches transaction DB for Cross Origin Resource Sharing headers","","","owtf/plugins/web/grep/CORS@OWTF-WGP-002.py"
"OWTF-WGP-001","web","grep","Clickjacking","Searches transaction DB for Clickjacking protections","","","owtf/plugins/web/grep/Clickjacking@OWTF-WGP-001.py"
"OWTF-SM-002","web","grep","Cookies attributes","Searches transaction DB for Cookie attributes","","","owtf/plugins/web/grep/Cookies_attributes@OWTF-SM-002.py"
"OWTF-AT-001","web","grep","Credentials transport over an encrypted channel","Searches transaction DB for credentials protections","","https://www.owasp.org/index.php/Testing_for_credentials_transport_%28OWASP-AT-001%29","owtf/plugins/web/grep/Credentials_transport_over_an_encrypted_channel@OWTF-AT-001.py"
"OWTF-DS-007","web","grep","DoS Failure to Release Resources","Searches transaction DB for timing information","","https://www.owasp.org/index.php/Testing_for_DoS_Failure_to_Release_Resources_%28OWASP-DS-007%29","owtf/plugins/web/grep/DoS_Failure_to_Release_Resources@OWTF-DS-007.py"
"OWTF-AT-007","web","grep","Logout and Browser Cache Management","Searches transaction DB for Cache snooping protections","","","owtf/plugins/web/grep/Logout_and_Browser_Cache_Management@OWTF-AT-007.py"
"OWTF-DV-001","web","grep","Reflected Cross Site Scripting","Searches transaction DB for XSS protections","","http://jeremiahgrossman.blogspot.com/2010/01/to-disable-ie8s-xss-filter-or-not.html","owtf/plugins/web/grep/Reflected_Cross_Site_Scripting@OWTF-DV-001.py"
"OWTF-IG-001","web","grep","Spiders Robots and Crawlers","Searches transaction DB for Robots meta tag and X-Robots-Tag HTTP header","","","owtf/plugins/web/grep/Spiders_Robots_and_Crawlers@OWTF-IG-001.py"
"OWTF-SM-005","web","grep","Testing for CSRF","Searches transaction DB for CSRF protections","","https://www.owasp.org/index.php/Testing_for_CSRF_%28OWASP-SM-005%29","owtf/plugins/web/grep/Testing_for_CSRF@OWTF-SM-005.py"
"OWTF-DV-009","web","grep","Testing for SSI Injection","Searches transaction DB for SSI directives","","https://www.owasp.org/index.php/Testing_for_application_configuration_management_%28OWASP-CM-004%29","owtf/plugins/web/grep/Testing_for_SSI_Injection@OWTF-DV-009.py"
"OWTF-CM-001","web","grep","Testing for SSL-TLS","Searches transaction DB for SSL protections","","","owtf/plugins/web/grep/Testing_for_SSL-TLS@OWTF-CM-001.py"
"OWTF-AT-006","web","grep","Vulnerable Remember Password and Pwd Reset","Searches transaction DB for autocomplete protections","","","owtf/plugins/web/grep/Vulnerable_Remember_Password_and_Pwd_Reset@OWTF-AT-006.py"
"OWTF-IG-004","web","grep","Web Application Fingerprint","Searches transaction DB for fingerprint traces","","","owtf/plugins/web/grep/Web_Application_Fingerprint@OWTF-IG-004.py"
"OWTF-IG-005","web","passive","Application Discovery","Third party discovery resources","PassiveAppDiscoveryDNS;PassiveAppDiscoveryWHOIS;PassiveAppDiscoveryDbLookup;PassiveAppDiscoveryPing;PassiveAppDiscoveryTraceroute;PassiveAppDiscoveryMisc;PassiveAppDiscoveryURLs","","owtf/plugins/web/passive/Application_Discovery@OWTF-IG-005.py"
"OWTF-CM-008","web","passive","HTTP Methods and XST","Third party resources","PassiveMethods","","owtf/plugins/web/passive/HTTP_Methods_and_XST@OWTF-CM-008.py"
"OWTF-CM-006","web","passive","Old Backup and Unreferenced Files","Google Hacking for juicy files","PassiveOldBackupUnreferencedFilesLnk","https://www.owasp.org/index.php/Testing_for_Old,_Backup_and_Unreferenced_Files_(OWASP-CM-006)","owtf/plugins/web/passive/Old_Backup_and_Unreferenced_Files@OWTF-CM-006.py"
"OWTF-DV-001","web","passive","Reflected Cross Site Scripting","Plugin to assist passive testing for known XSS vectors","PassiveCrossSiteScripting","","owtf/plugins/web/passive/Reflected_Cross_Site_Scripting@OWTF-DV-001.py"
"OWTF-IG-002","web","passive","Search engine discovery reconnaissance","General Google Hacking/Email harvesting, etc","PassiveSearchEngineDiscoveryCmd;PassiveSearchEngineDiscoveryLnk","","owtf/plugins/web/passive/Search_engine_discovery_reconnaissance@OWTF-IG-002.py"
"OWTF-IG-001","web","passive","Spiders Robots and Crawlers","robots.txt analysis through third party sites","PassiveRobotsAnalysisHTTPRequests;PassiveRobotsAnalysisLinks;PassiveRobots","","owtf/plugins/web/passive/Spiders_Robots_and_Crawlers@OWTF-IG-001.py"
"OWTF-DV-002","web","passive","Stored Cross Site Scripting","Plugin to assist passive testing for known XSS vectors","PassiveCrossSiteScripting","","owtf/plugins/web/passive/Stored_Cross_Site_Scripting@OWTF-DV-002.py"
"OWTF-CM-007","web","passive","Testing for Admin Interfaces","Google Hacking for Admin interfaces","PassiveAdminInterfaceLnk","https://www.owasp.org/index.php/Testing_for_Admin_Interfaces_%28OWASP-CM-007%29","owtf/plugins/web/passive/Testing_for_Admin_Interfaces@OWTF-CM-007.py"
"OWTF-AT-008","web","passive","Testing for Captcha","Google Hacking for CAPTCHA","PassiveCAPTCHALnk","","owtf/plugins/web/passive/Testing_for_Captcha@OWTF-AT-008.py"
"OWTF-DV-004","web","passive","Testing for Cross site flashing","Google Hacking for Cross Site Flashing","PassiveCrossSiteFlashingLnk","","owtf/plugins/web/passive/Testing_for_Cross_site_flashing@OWTF-DV-004.py"
"OWTF-IG-006","web","passive","Testing for Error Code","Google Hacking for Error codes","PassiveErrorMessagesLnk","https://www.owasp.org/index.php/Testing_for_Error_Code_%28OWASP-IG-006%29","owtf/plugins/web/passive/Testing_for_Error_Code@OWTF-IG-006.py"
"OWTF-CL-001","web","passive","Testing for Open Amazon S3 buckets","GrayhatWarfare for Public S3 Buckets","PassiveOpenS3Buckets","","owtf/plugins/web/passive/Testing_for_Open_Amazon_S3_buckets@OWTF-CL-001.py"
"OWTF-AZ-001","web","passive","Testing for Path Traversal","Panoptic, a tool for testing local file inclusion vulnerabilities","","","owtf/plugins/web/passive/Testing_for_Path_Traversal@OWTF-AZ-001.py"
"OWTF-DV-005","web","passive","Testing for SQL Injection","Google Hacking for SQLi","PassiveSQLInjectionLnk","https://www.owasp.org/index.php/Testing_for_SQL_Injection_%28OWASP-DV-005%29","owtf/plugins/web/passive/Testing_for_SQL_Injection@OWTF-DV-005.py"
"OWTF-DV-009","web","passive","Testing for SSI Injection","Searching for pages that are susceptible to SSI-Injection","PassiveSSIDiscoveryLnk","","owtf/plugins/web/passive/Testing_for_SSI_Injection@OWTF-DV-009.py"
"OWTF-CM-001","web","passive","Testing for SSL-TLS","Third party resources","PassiveSSL","","owtf/plugins/web/passive/Testing_for_SSL-TLS@OWTF-CM-001.py"
"OWTF-WS-001","web","passive","WS Information Gathering","Google Hacking/Third party sites for Web Services","WSPassiveSearchEngineDiscoveryLnk","","owtf/plugins/web/passive/WS_Information_Gathering@OWTF-WS-001.py"
"OWTF-IG-004","web","passive","Web Application Fingerprint","Third party resources and fingerprinting suggestions","PassiveFingerPrint","","owtf/plugins/web/passive/Web_Application_Fingerprint@OWTF-IG-004.py"
"OWTF-CM-008","web","semi_passive","HTTP Methods and XST","Normal request for HTTP methods analysis","SemiPassiveHTTPMethods","","owtf/plugins/web/semi_passive/HTTP_Methods_and_XST@OWTF-CM-008.py"
"OWTF-IG-002","web","semi_passive","Search engine discovery reconnaissance","Metadata analysis","SemiPassiveSearchEngineDiscoveryCmd","","owtf/plugins/web/semi_passive/Search_engine_discovery_reconnaissance@OWTF-IG-002.py"
"OWTF-SM-001","web","semi_passive","Session Management Schema","Normal requests to gather session management info","","https://www.owasp.org/index.php/Testing_for_Session_Management_Schema_%28OWASP-SM-001%29","owtf/plugins/web/semi_passive/Session_Management_Schema@OWTF-SM-001.py"
"OWTF-IG-001","web","semi_passive","Spiders Robots and Crawlers","Normal request for robots.txt analysis","","","owtf/plugins/web/semi_passive/Spiders_Robots_and_Crawlers@OWTF-IG-001.py"
"OWTF-DV-004","web","semi_passive","Testing for Cross site flashing","Normal requests for XSF analysis","","","owtf/plugins/web/semi_passive/Testing_for_Cross_site_flashing@OWTF-DV-004.py"
"OWTF-IG-004","web","semi_passive","Web Application Fingerprint","Normal requests to gather fingerprint info","SemiPassiveFingerPrint","","owtf/plugins/web/semi_passive/Web_Application_Fingerprint@OWTF-IG-004.py"
