area,legacy_capability,status,current_evidence,gap_or_decision,required_proof
plugins,"validate per-plugin operator inputs and defaults",implemented,"internal/plugin/input.go; internal/api/server.go; internal/cli/cli.go; scripts/owtf-smoke.sh","","typed manifest inputs are validated and snapshotted with each task"
plugins,"show external testing references and manual guidance",implemented,"internal/plugin/external.go; plugins/web/*/external/plugin.yaml; internal/report/archive.go; scripts/owtf-smoke.sh","51 retained manual techniques are YAML plugins with OWTF codes and WSTG guidance","retained external variants produce linked report observations without target traffic"
plugins,"run grep techniques over captured transactions",implemented,"internal/plugin/grep.go; internal/runner/transactions.go; plugins/web/*/grep/plugin.yaml; plugins/web/OWTF-SM-001/semi_passive/plugin.yaml; internal/report/archive.go; scripts/owtf-smoke.sh","","grouped configuration, credential transport, cache, CSRF, SSI, robots, fingerprint, framing, CORS, cookie, session-management, and HSTS rules produce evidence-linked observations"
plugins,"run maintained web probes and command integrations",partial,"internal/plugin/http.go; internal/plugin/command.go; internal/plugin/container.go; internal/plugin/decode.go; plugins/web/; scripts/owtf-tools-smoke.sh","six tool families pass real Kali execution against local fixtures with retained and decoded reports; Metagoofil startup passes, but its search-provider workflow and Gobuster virtual-host/GCS modes still lack end-to-end proof","retain explicit live-test gaps rather than treating image availability as runtime parity"
plugins,"run maintained network and auxiliary integrations",partial,"plugins/network/PTES-*/active/plugin.yaml; docs/architecture/plugin-support-decisions.csv; scripts/owtf-smoke.sh","eight maintained network probes ship and all auxiliary variants have explicit decisions; SNMP, DNS discovery, and credential attacks remain deferred","each retained technique runs with explicit inputs and bounded cleanup"
resources,"provide dictionaries, ports, command resources, and proxy-chain values",replaced,"internal/plugin/input.go; internal/plugin/command.go; internal/plugin/container.go; internal/config/config.go; wordlists/","typed ports and named wordlists replace arbitrary resources; wordlists have byte/line bounds and task-owned copies, commands are manifest requirements, and upstream proxies use typed configuration","wordlist traversal, malformed content, size limits, and container transfer are tested"
runs,"persist immutable runs and task snapshots",implemented,"internal/store/store.go; internal/api/server.go","","restart preserves task identity, plugin version, order, and terminal state"
worklist,"list queued, blocked, running, and terminal work",implemented,"internal/store/store.go; internal/cli/cli.go","","status filters report exact persisted task states"
worklist,"cancel queued and running work with child-process cleanup",implemented,"internal/runner/runner.go; internal/plugin/process_unix.go; internal/plugin/command_test.go; internal/plugin/container.go; scripts/owtf-tools-smoke.sh","","native process-tree tests cover cancellation, timeout, and parent death; real Gobuster failure cases begin after observed scan activity, retain one attempt and its logs across restart, and remove task containers, volumes, and temporary files"
worklist,"manually retry terminal work",removed,"create a new run for deliberate re-execution","retries can repeat mutating techniques or duplicate side effects","no retry API or CLI command exists"
worklist,"pause, resume, reorder, and remove work",implemented,"internal/store/store.go; internal/runner/queue.go; internal/api/server.go; internal/cli/cli.go; scripts/owtf-smoke.sh","removal is limited to queued, paused, or blocked work so started evidence is never discarded","persisted order survives process restart and curl plus CLI prove the next dispatched task"
workers,"show a truthful bounded worker set and current assignments",implemented,"internal/runner/runner.go; internal/api/server.go","","configured count and live task assignment remain exact under load"
workers,"dynamically create and delete worker processes",replaced,"fixed bounded workers configured at startup","dynamic worker mutation caused misleading state and excess processes","worker count never exceeds configuration and restart applies a changed count"
logs,"retain ordered lifecycle, stdout, and stderr per attempt",implemented,"internal/runner/runner.go; internal/store/store.go","","concurrent output remains ordered and attached to the correct attempt"
outputs,"review, annotate, change rank, and suppress plugin output",partial,"internal/store/store.go; internal/api/server.go; internal/cli/cli.go; internal/report/archive.go; scripts/owtf-smoke.sh","review rank and notes are implemented; suppression remains unapproved","reviews survive restart and appear in target, session, CLI, API, and portable reports without mutating scanner evidence"
transactions,"import, list, inspect, retain bodies, and delete HTTP transactions",implemented,"internal/har/har.go; internal/api/server.go; scripts/owtf-smoke.sh","","binary request and response bodies round-trip through API, CLI, and report export"
transactions,"search, filter, and paginate persisted transactions",implemented,"internal/store/store.go; internal/api/server.go; internal/cli/cli.go; scripts/owtf-smoke.sh","","API and CLI return deterministic bounded pages without loading body artifacts"
transactions,"edit captured transactions",replaced,"proxy repeater accepts modified requests","captured evidence remains immutable","replay changes never alter the source transaction"
proxy,"HTTP forwarding, CONNECT/TLS interception, CA, cache, retry, upstream proxies, target auth, HAR, WebSockets, and repeater",implemented,"internal/proxy/; cmd/owtf/proxy.go; scripts/owtf-smoke.sh","","real HTTP, HTTPS, binary, WebSocket, upstream, and replay tests pass"
proxy,"manage static interceptors while the proxy is running",implemented,"internal/proxy/interceptor.go; internal/proxy/api.go; cmd/owtf/proxy_api.go; internal/proxy/api_test.go; cmd/owtf/proxy_test.go; scripts/owtf-smoke.sh","","validated rules are listed, replaced, enabled, and disabled atomically through curl and CLI; invalid replacements leave the active set unchanged"
proxy,"pause and edit a live request or response",missing,"","live interception is not implemented","bounded pending items continue, modify, drop, timeout, and unblock on shutdown"
configuration,"show and validate effective typed OWTF configuration",implemented,"internal/config/config.go; cmd/owtf/config.go; cmd/owtf/proxy.go; scripts/owtf-smoke.sh","","defaults, file, environment, and flags obey documented precedence"
configuration,"edit arbitrary global key/value settings",replaced,"planned typed configuration and plugin inputs","the executable settings.py key/value bag will not return","unknown fields fail and secrets never appear in output or SQLite"
reports,"produce target and session reports with evidence provenance",implemented,"internal/api/server.go; internal/model/model.go","","reports derive counts and details only from persisted state"
reports,"export a portable report that opens without the server",implemented,"internal/report/archive.go; scripts/owtf-smoke.sh","","ZIP contents and links remain complete after the server stops"
help,"provide OWTF methodology, calculator, learning, and project links",implemented,"internal/help/help.yaml; internal/help/catalog.go; internal/api/server.go; internal/cli/cli.go; scripts/owtf-smoke.sh","dead legacy destinations are omitted; retained categories and maintained references remain","strict versioned HTTPS-only data is available through curl and CLI without runtime fetching"
metrics,"show truthful progress and execution metrics",implemented,"internal/store/store.go; internal/store/store_test.go; internal/api/server.go; internal/cli/cli.go; scripts/owtf-smoke.sh; scripts/owtf-tools-smoke.sh","persisted task/attempt/evidence totals are separate from live worker counters, which reset on restart","API and CLI metrics match completed scans, exclude running attempts from duration averages, and never infer progress from worker count"
dashboard,"show previous-target analytics",removed,"","explicitly removed by product decision","not a parity requirement"
authentication,"accounts, passwords, tokens, OTP, and reset flows",removed,"docs/usage/access-model.rst","external reverse proxy owns deployment authentication","no auth state or token handling exists in frontend or backend"
community_plugins,"upload and approve executable Python plugins",removed,"plugin manifests are loaded from a trusted directory","remote executable upload is outside the trust model","catalog rejects malformed manifests and never executes uploaded source"
deployment,"run the backend and SQLite service without host Python",implemented,"Dockerfile; docker/docker-compose.yml; Makefile","","compose starts one bounded service and persists SQLite data"
cli,"operate retained backend workflows without a browser",partial,"internal/cli/cli.go; scripts/owtf-smoke.sh","missing capabilities above also lack CLI commands","every retained feature has curl and CLI outcome coverage"
ui,"operate retained workflows through the product interface",deferred,"internal/api/ui is proof tooling","final UI follows CLI/API feature parity","real API flows pass before visual acceptance evidence"
