code,group,type,legacy_name,decision,replacement,status,rationale
PTES-001,network,bruteforce,FTP Credential Testing,defer,,reviewed,"Credential attacks require explicit authorization, rate limits, and secret handling before they can be retained."
PTES-006,network,bruteforce,Microsoft SQL Server Credential Testing,defer,,reviewed,"Credential attacks require explicit authorization, rate limits, and secret handling before they can be retained."
PTES-009,network,bruteforce,SMB Credential Testing,defer,,reviewed,"Credential attacks require explicit authorization, rate limits, and secret handling before they can be retained."
PTES-010,network,bruteforce,SNMP Community Testing,defer,,reviewed,"Community discovery requires explicit authorization, rate limits, and secret handling before it can be retained."
PTES-003,network,bruteforce,VNC Credential Testing,defer,,reviewed,"Credential attacks require explicit authorization, rate limits, and secret handling before they can be retained."
OWTF-IG-005,web,active,Application Discovery,replace,OWTF-IG-005-active,planned,Retain bounded application discovery with one maintained enumerator and an explicit wordlist input.
OWTF-WVS-001,web,active,Arachni Unauthenticated,reject,"",reviewed,Arachni is archived and its tool-specific OWTF wrapper has no maintainable runtime to preserve.
OWTF-CM-008,web,active,HTTP Methods and XST,defer,"",reviewed,Active method probing may send mutating verbs; keep the semi-passive implementation until explicit verb selection is designed.
OWTF-CM-003,web,active,Infrastructure Configuration Management,replace,OWTF-CM-003-active,planned,Retain infrastructure configuration probing with maintained tools and structured artifacts instead of the legacy mixed command list.
OWTF-WVS-002,web,active,Nikto Unauthenticated,replace,OWTF-WVS-002-active,planned,Retain Nikto as an optional shell-free command integration with bounded execution and report artifacts.
OWTF-CM-006,web,active,Old Backup and Unreferenced Files,replace,OWTF-CM-006-active,planned,Retain backup and unreferenced-file discovery with a maintained enumerator and an explicit bounded wordlist.
OWTF-WVS-006,web,active,Skipfish Unauthenticated,reject,"",reviewed,Skipfish is unmaintained; generic scanner coverage is retained through maintained integrations instead.
OWTF-ST-001,web,active,Subdomain Takeover,replace,OWTF-ST-001-active,planned,Retain subdomain-takeover checks with a maintained detector and machine-readable evidence instead of the abandoned wrapper.
OWTF-CL-002,web,active,Testing for Open GCP buckets,replace,OWTF-CL-002-active,planned,Retain public GCP bucket discovery only with bounded candidate inputs and structured evidence.
OWTF-CM-001,web,active,Testing for SSL-TLS,replace,OWTF-CM-001-active,planned,Retain active TLS configuration analysis through a maintained scanner with machine-readable output.
OWTF-WSP-001,web,active,Visit URLs,replace,OWTF-WSP-001-active,implemented,Retain bounded visits to discovered in-scope URLs with the native HTTP runtime.
OWTF-WVS-004,web,active,W3AF Unauthenticated,reject,"",reviewed,The w3af integration is unmaintained and should not remain as a nominally supported scanner.
OWTF-WVS-003,web,active,Wapiti Unauthenticated,replace,OWTF-WVS-003-active,planned,Retain Wapiti as an optional shell-free command integration with bounded execution and report artifacts.
OWTF-IG-004,web,active,Web Application Fingerprint,replace,OWTF-IG-004-active,planned,Retain active technology fingerprinting with a maintained fingerprint engine and structured evidence.
OWTF-AJ-001,web,external,AJAX Vulnerabilities,replace,OWTF-AJ-001-external,planned,Retain AJAX Vulnerabilities as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-CM-004,web,external,Application Configuration Management,replace,OWTF-CM-004-grep,implemented,Configuration disclosures are retained by the bounded transaction grep plugin without a duplicate resource wrapper.
OWTF-IG-005,web,external,Application Discovery,replace,OWTF-IG-005-active,planned,Application discovery belongs in the bounded active plugin; the tool-link wrapper adds no separate evidence.
OWTF-WVS-001,web,external,Arachni Unauthenticated,reject,"",reviewed,Arachni is archived; a link-only wrapper would falsely imply maintained scanner support.
OWTF-AT-004,web,external,Brute Force Testing,replace,OWTF-AT-004-external,planned,Retain Brute Force Testing as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-AT-005,web,external,Bypassing authentication schema,replace,OWTF-AT-005-external,planned,Retain Bypassing authentication schema as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-AZ-002,web,external,Bypassing authorization schema,replace,OWTF-AZ-002-external,planned,Retain Bypassing authorization schema as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WGP-002,web,external,CORS,replace,OWTF-WGP-002-grep,implemented,Captured CORS evidence is retained by the transaction grep plugin.
OWTF-WGP-001,web,external,Clickjacking,replace,OWTF-WGP-001-grep,implemented,Captured clickjacking-protection evidence is retained by the transaction grep plugin.
OWTF-SM-002,web,external,Cookies attributes,replace,OWTF-SM-002-grep,implemented,Captured cookie-attribute evidence is retained by the transaction grep plugin.
OWTF-AT-001,web,external,Credentials transport over an encrypted channel,replace,OWTF-AT-001-grep,implemented,Credential-transport indicators are retained by the bounded transaction grep plugin without a duplicate resource wrapper.
OWTF-CM-002,web,external,DB Listener Testing,replace,OWTF-CM-002-external,planned,Retain DB Listener Testing as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-003,web,external,DOM based Cross Site Scripting,replace,OWTF-DV-003-external,planned,Retain DOM based Cross Site Scripting as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DS-007,web,external,DoS Failure to Release Resources,replace,OWTF-DS-007-external,planned,Retain DoS Failure to Release Resources as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DS-004,web,external,DoS User Specified Object Allocation,replace,OWTF-DS-004-external,planned,Retain DoS User Specified Object Allocation as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-SM-004,web,external,Exposed Session Variables,replace,OWTF-SM-004-external,planned,Retain Exposed Session Variables as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WS-005,web,external,HTTP GET parameters REST Testing,replace,OWTF-WS-005-external,planned,Retain HTTP GET parameters REST Testing as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-CM-008,web,external,HTTP Methods and XST,replace,OWTF-CM-008-semi_passive,implemented,The native HTTP method plugin retains this technique without a separate resource wrapper.
OWTF-AJ-002,web,external,How to test AJAX,replace,OWTF-AJ-002-external,planned,Retain How to test AJAX as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-011,web,external,IMAP SMTP Injection,replace,OWTF-DV-011-external,planned,Retain IMAP SMTP Injection as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-IG-003,web,external,Identify application entry points,replace,OWTF-IG-003-external,planned,Retain Identify application entry points as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-CM-003,web,external,Infrastructure Configuration Management,replace,OWTF-CM-003-active,planned,Infrastructure checks belong in the maintained active plugin; duplicate tool links are not a separate technique.
OWTF-AT-007,web,external,Logout and Browser Cache Management,replace,OWTF-AT-007-grep,implemented,Logout and cache-control indicators are retained by the bounded transaction grep plugin without a duplicate resource wrapper.
OWTF-AT-009,web,external,Multiple Factors Authentication,replace,OWTF-AT-009-external,planned,Retain Multiple Factors Authentication as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WS-006,web,external,Naughty SOAP attachments,replace,OWTF-WS-006-external,planned,Retain Naughty SOAP attachments as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WVS-002,web,external,Nikto Unauthenticated,replace,OWTF-WVS-002-active,planned,Nikto usage belongs in its optional command plugin rather than a second link-only variant.
OWTF-CM-006,web,external,Old Backup and Unreferenced Files,replace,OWTF-CM-006-active,planned,File discovery belongs in its bounded active plugin; duplicate tool links are not a separate technique.
OWTF-AT-010,web,external,Race Conditions,replace,OWTF-AT-010-external,planned,Retain Race Conditions as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-001,web,external,Reflected Cross Site Scripting,replace,OWTF-DV-001-external,planned,Retain Reflected Cross Site Scripting as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-IG-002,web,external,Search engine discovery reconnaissance,replace,OWTF-IG-002-external,planned,Retain Search engine discovery reconnaissance as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-SM-001,web,external,Session Management Schema,replace,OWTF-SM-001-semi_passive,planned,Session-management observations belong in the bounded native HTTP plugin without a duplicate resource wrapper.
OWTF-IG-001,web,external,Spiders Robots and Crawlers,replace,OWTF-IG-001-semi_passive,implemented,Robots collection is retained by the native HTTP plugin without a duplicate link wrapper.
OWTF-DV-002,web,external,Stored Cross Site Scripting,replace,OWTF-DV-002-external,planned,Retain Stored Cross Site Scripting as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DS-008,web,external,Storing too Much Data in Session,replace,OWTF-DS-008-external,planned,Retain Storing too Much Data in Session as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WS-002,web,external,Testing WSDL,replace,OWTF-WS-002-external,planned,Retain Testing WSDL as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-CM-007,web,external,Testing for Admin Interfaces,replace,OWTF-CM-007-external,planned,Retain Testing for Admin Interfaces as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-014,web,external,Testing for Buffer overflow,replace,OWTF-DV-014-external,planned,Retain Testing for Buffer overflow as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-SM-005,web,external,Testing for CSRF,replace,OWTF-SM-005-grep,implemented,Candidate CSRF protection indicators are retained by the bounded transaction grep plugin without a duplicate resource wrapper.
OWTF-AT-008,web,external,Testing for Captcha,replace,OWTF-AT-008-external,planned,Retain Testing for Captcha as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-012,web,external,Testing for Code Injection,replace,OWTF-DV-012-external,planned,Retain Testing for Code Injection as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-013,web,external,Testing for Command Injection,replace,OWTF-DV-013-external,planned,Retain Testing for Command Injection as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-004,web,external,Testing for Cross site flashing,reject,"",reviewed,Cross-site Flash guidance is obsolete because current browsers no longer run the Flash plugin.
OWTF-DS-003,web,external,Testing for DoS Buffer Overflows,replace,OWTF-DS-003-external,planned,Retain Testing for DoS Buffer Overflows as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DS-002,web,external,Testing for DoS Locking Customer Accounts,replace,OWTF-DS-002-external,planned,Retain Testing for DoS Locking Customer Accounts as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-IG-006,web,external,Testing for Error Code,replace,OWTF-IG-006-external,planned,Retain Testing for Error Code as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-CM-005,web,external,Testing for File Extensions Handling,replace,OWTF-CM-005-external,planned,Retain Testing for File Extensions Handling as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-AT-003,web,external,Testing for Guessable User Account,replace,OWTF-AT-003-external,planned,Retain Testing for Guessable User Account as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-016,web,external,Testing for HTTP Splitting Smuggling,replace,OWTF-DV-016-external,planned,Retain Testing for HTTP Splitting Smuggling as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-006,web,external,Testing for LDAP Injection,replace,OWTF-DV-006-external,planned,Retain Testing for LDAP Injection as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-007,web,external,Testing for ORM Injection,replace,OWTF-DV-007-external,planned,Retain Testing for ORM Injection as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-AZ-003,web,external,Testing for Privilege Escalation,replace,OWTF-AZ-003-external,planned,Retain Testing for Privilege Escalation as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-005,web,external,Testing for SQL Injection,replace,OWTF-DV-005-external,planned,Retain Testing for SQL Injection as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DS-001,web,external,Testing for SQL Wildcard Attacks,replace,OWTF-DS-001-external,planned,Retain Testing for SQL Wildcard Attacks as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-009,web,external,Testing for SSI Injection,replace,OWTF-DV-009-grep,implemented,SSI directive indicators are retained by the bounded transaction grep plugin without a duplicate resource wrapper.
OWTF-CM-001,web,external,Testing for SSL-TLS,replace,OWTF-CM-001-active,planned,TLS analysis belongs in the maintained active scanner integration.
OWTF-SM-003,web,external,Testing for Session Fixation,replace,OWTF-SM-003-external,planned,Retain Testing for Session Fixation as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-008,web,external,Testing for XML Injection,replace,OWTF-DV-008-external,planned,Retain Testing for XML Injection as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-010,web,external,Testing for XPath Injection,replace,OWTF-DV-010-external,planned,Retain Testing for XPath Injection as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DV-015,web,external,Testing for incubated vulnerabilities,reject,"",reviewed,Incubated vulnerabilities is not a defined reproducible technique and should not remain as a catch-all plugin.
OWTF-AZ-001,web,external,Testing for path traversal,replace,OWTF-AZ-001-external,planned,Retain Testing for path traversal as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-AT-002,web,external,Testing for user enumeration,replace,OWTF-AT-002-external,planned,Retain Testing for user enumeration as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-DS-005,web,external,User Input as a Loop Counter,replace,OWTF-DS-005-external,planned,Retain User Input as a Loop Counter as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WSP-001,web,external,Visit URLs,replace,OWTF-WSP-001-active,implemented,URL visiting is retained by the bounded native HTTP plugin.
OWTF-AT-006,web,external,Vulnerable Remember Password and Pwd Reset,replace,OWTF-AT-006-external,planned,Retain Vulnerable Remember Password and Pwd Reset as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WVS-004,web,external,W3AF Unauthenticated,reject,"",reviewed,w3af is unmaintained; a link-only wrapper would falsely imply maintained scanner support.
OWTF-WS-001,web,external,WS Information Gathering,replace,OWTF-WS-001-external,planned,Retain WS Information Gathering as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WS-007,web,external,WS Replay Testing,replace,OWTF-WS-007-external,planned,Retain WS Replay Testing as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WVS-003,web,external,Wapiti Unauthenticated,replace,OWTF-WVS-003-active,planned,Wapiti usage belongs in its optional command plugin rather than a second link-only variant.
OWTF-IG-004,web,external,Web Application Fingerprint,replace,OWTF-IG-004-external,implemented,Retain current manual fingerprint references as a non-executable external plugin.
OWTF-DS-006,web,external,Writing User Provided Data to Disk,replace,OWTF-DS-006-external,planned,Retain Writing User Provided Data to Disk as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WS-004,web,external,XML Content-level Testing,replace,OWTF-WS-004-external,planned,Retain XML Content-level Testing as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-WS-003,web,external,XML Structural Testing,replace,OWTF-WS-003-external,planned,Retain XML Structural Testing as non-executable manual guidance with current primary references; the legacy Python resource wrapper is unnecessary.
OWTF-CM-004,web,grep,Application Configuration Management,replace,OWTF-CM-004-grep,implemented,Retain comments and accidental configuration disclosures as bounded transaction grep observations.
OWTF-WGP-002,web,grep,CORS,replace,OWTF-WGP-002-grep,implemented,Retain cross-origin response header observations from captured transactions.
OWTF-WGP-001,web,grep,Clickjacking,replace,OWTF-WGP-001-grep,implemented,Retain frame-protection header observations from captured transactions.
OWTF-SM-002,web,grep,Cookies attributes,replace,OWTF-SM-002-grep,implemented,Retain cookie attribute observations from captured response headers.
OWTF-AT-001,web,grep,Credentials transport over an encrypted channel,replace,OWTF-AT-001-grep,implemented,Retain cleartext credential-transport indicators as evidence observations without inferring authentication flaws.
OWTF-DS-007,web,grep,DoS Failure to Release Resources,reject,"",reviewed,Response timing alone cannot establish resource-exhaustion behavior and produced misleading output.
OWTF-AT-007,web,grep,Logout and Browser Cache Management,replace,OWTF-AT-007-grep,implemented,Retain browser-cache control observations for authentication and logout responses.
OWTF-DV-001,web,grep,Reflected Cross Site Scripting,reject,"",reviewed,The legacy rule only inspected obsolete browser XSS-filter headers and did not test reflected XSS.
OWTF-IG-001,web,grep,Spiders Robots and Crawlers,replace,OWTF-IG-001-grep,implemented,Retain robots directives found in captured response headers and bodies.
OWTF-SM-005,web,grep,Testing for CSRF,replace,OWTF-SM-005-grep,implemented,Retain candidate anti-CSRF token observations while avoiding an unsupported vulnerability conclusion.
OWTF-DV-009,web,grep,Testing for SSI Injection,replace,OWTF-DV-009-grep,implemented,Retain server-side-include directive observations from captured response bodies.
OWTF-CM-001,web,grep,Testing for SSL-TLS,replace,OWTF-CM-001-grep,implemented,Retain TLS response evidence checks as bounded transaction grep rules.
OWTF-AT-006,web,grep,Vulnerable Remember Password and Pwd Reset,reject,"",reviewed,Autocomplete markup is not reliable evidence of a password-reset or remember-password vulnerability.
OWTF-IG-004,web,grep,Web Application Fingerprint,replace,OWTF-IG-004-grep,implemented,Retain framework and server markers found in captured transaction evidence.
OWTF-IG-005,web,passive,Application Discovery,replace,OWTF-IG-005-active,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-CM-008,web,passive,HTTP Methods and XST,replace,OWTF-CM-008-semi_passive,implemented,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-CM-006,web,passive,Old Backup and Unreferenced Files,replace,OWTF-CM-006-active,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-DV-001,web,passive,Reflected Cross Site Scripting,replace,OWTF-DV-001-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-IG-002,web,passive,Search engine discovery reconnaissance,replace,OWTF-IG-002-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-IG-001,web,passive,Spiders Robots and Crawlers,replace,OWTF-IG-001-semi_passive,implemented,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-DV-002,web,passive,Stored Cross Site Scripting,replace,OWTF-DV-002-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-CM-007,web,passive,Testing for Admin Interfaces,replace,OWTF-CM-007-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-AT-008,web,passive,Testing for Captcha,replace,OWTF-AT-008-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-DV-004,web,passive,Testing for Cross site flashing,reject,"",reviewed,Cross-site Flash search helpers are obsolete because current browsers no longer run the Flash plugin.
OWTF-IG-006,web,passive,Testing for Error Code,replace,OWTF-IG-006-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-CL-001,web,passive,Testing for Open Amazon S3 buckets,replace,OWTF-CL-001-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-AZ-001,web,passive,Testing for Path Traversal,replace,OWTF-AZ-001-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-DV-005,web,passive,Testing for SQL Injection,replace,OWTF-DV-005-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-DV-009,web,passive,Testing for SSI Injection,replace,OWTF-DV-009-grep,implemented,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-CM-001,web,passive,Testing for SSL-TLS,replace,OWTF-CM-001-active,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-WS-001,web,passive,WS Information Gathering,replace,OWTF-WS-001-external,planned,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-IG-004,web,passive,Web Application Fingerprint,replace,OWTF-IG-004-external,implemented,Replace third-party search and resource wrappers with the canonical retained plugin for this OWTF technique.
OWTF-CM-008,web,semi_passive,HTTP Methods and XST,replace,OWTF-CM-008-semi_passive,implemented,Retain bounded OPTIONS and TRACE observations with the native HTTP runtime.
OWTF-IG-002,web,semi_passive,Search engine discovery reconnaissance,replace,OWTF-IG-002-semi_passive,planned,"Retain metadata inspection with a maintained parser and bounded downloaded artifacts, not the legacy command template."
OWTF-SM-001,web,semi_passive,Session Management Schema,replace,OWTF-SM-001-semi_passive,planned,Retain session-management observations through bounded native HTTP requests and captured cookie evidence.
OWTF-IG-001,web,semi_passive,Spiders Robots and Crawlers,replace,OWTF-IG-001-semi_passive,implemented,Retain direct robots.txt collection with the native HTTP runtime.
OWTF-DV-004,web,semi_passive,Testing for Cross site flashing,reject,"",reviewed,Cross-site Flash testing is obsolete because current browsers no longer run the Flash plugin.
OWTF-IG-004,web,semi_passive,Web Application Fingerprint,replace,OWTF-IG-004-semi_passive,implemented,Retain bounded response header and body capture through the shell-free curl integration.
